,Region,District,Garden,Room,Hall,Floor,Year,Size,Direction,Renovation,Price,RegionNum,DistrictNum,GardenNum,RoomNum,HallNum,DirectionNum,RenovationNum,PriceNum,YearNum,SizeNum,FloorNum
47,房山,良乡,辰光嘉园,5,2,15,2003,234,南北,其他,658.0,7,172,2632,4,2,22,0,658.0,2003,234,15
48,房山,长阳,长阳半岛怡和路6号院,3,2,4,2015,139,南北,其他,695.0,7,203,2837,2,2,22,0,695.0,2015,139,4
49,房山,长阳,怡和南路11号院,2,0,8,2016,42,东,精装,108.0,7,203,1348,1,0,0,3,108.0,2016,42,8
50,房山,城关,中国铁建原香漫谷,2,2,19,2015,95,南,毛坯,252.0,7,73,231,1,2,20,1,252.0,2015,95,19
51,房山,窦店,北京城建琨廷,2,1,9,2013,85,南,精装,255.0,7,166,567,1,1,20,3,255.0,2013,85,9
52,房山,城关,中冶蓝城,2,1,16,2014,89,南北,精装,255.0,7,73,229,1,1,22,3,255.0,2014,89,16
53,房山,长阳,五和万科长阳天地,2,0,5,2016,47,西,精装,135.0,7,203,329,1,0,30,3,135.0,2016,47,5
54,房山,良乡,首开熙悦睿府书香,1,0,18,2014,50,东,精装,119.0,7,172,2975,0,0,0,3,119.0,2014,50,18
55,平谷,平谷其它,首城汇景湾,2,2,18,2014,87,南北,其他,210.0,5,106,2956,1,2,22,0,210.0,2014,87,18
56,平谷,平谷其它,首城汇景湾,1,1,18,2014,67,东北,其他,199.0,5,106,2956,0,1,2,0,199.0,2014,67,18
57,平谷,平谷其它,首城汇景湾,3,2,12,2015,124,南北,精装,420.0,5,106,2956,2,2,22,3,420.0,2015,124,12
58,平谷,平谷其它,新华联慧谷,2,2,17,2015,102,南北,精装,285.0,5,106,1437,1,2,22,3,285.0,2015,102,17
59,平谷,平谷其它,中昂邑上原著,2,1,12,2015,76,南北,精装,320.0,5,106,243,1,1,22,3,320.0,2015,76,12
60,平谷,平谷其它,首城汇景湾,3,2,18,2014,134,南北,其他,360.0,5,106,2956,2,2,22,0,360.0,2014,134,18
61,平谷,平谷其它,首城汇景湾,2,2,18,2014,88,南北,其他,230.0,5,106,2956,1,2,22,0,230.0,2014,88,18
62,平谷,平谷其它,首城汇景湾,2,2,11,2015,89,南北,其他,260.0,5,106,2956,1,2,22,0,260.0,2015,89,11
63,平谷,平谷其它,首城汇景湾,1,1,18,2014,74,南北,其他,190.0,5,106,2956,0,1,22,0,190.0,2014,74,18
64,平谷,平谷其它,首城汇景湾,3,1,18,2014,116,南北,其他,270.0,5,106,2956,2,1,22,0,270.0,2014,116,18
65,平谷,平谷其它,首城汇景湾,2,2,16,2014,91,南北,精装,260.0,5,106,2956,1,2,22,3,260.0,2014,91,16
66,平谷,平谷其它,首城汇景湾,4,2,13,2014,194,南北,精装,480.0,5,106,2956,3,2,22,3,480.0,2014,194,13
67,怀柔,怀柔,龙山新新小镇六期,5,2,2,2009,457,南北,精装,1800.0,6,112,3079,4,2,22,3,1800.0,2009,457,2
68,怀柔,怀柔,顶秀美泉小镇,2,1,4,2010,89,南北,精装,430.0,6,112,2923,1,1,22,3,430.0,2010,89,4
69,怀柔,怀柔,龙山新新小镇六期,6,4,2,2008,163,南北,精装,850.0,6,112,3079,5,4,22,3,850.0,2008,163,2
70,怀柔,怀柔,融城园南区,3,1,1,1998,87,南北,简装,330.0,6,112,2480,2,1,22,2,330.0,1998,87,1
71,怀柔,怀柔,龙山新新小镇六期,5,3,2,2008,585,南北,精装,2100.0,6,112,3079,4,3,22,3,2100.0,2008,585,2
72,怀柔,怀柔,欧郡香水城,5,2,2,2011,343,南北,毛坯,1030.0,6,112,1745,4,2,22,1,1030.0,2011,343,2
73,怀柔,怀柔,八龙桥雅苑,5,2,2,2008,307,东南北,其他,1150.0,6,112,469,4,2,6,0,1150.0,2008,307,2
74,怀柔,怀柔,龙山新新小镇六期,4,2,2,2008,163,南北,简装,800.0,6,112,3079,3,2,22,2,800.0,2008,163,2
75,怀柔,怀柔,顶秀美泉小镇,3,2,4,2010,133,南北,其他,530.0,6,112,2923,2,2,22,0,530.0,2010,133,4
76,怀柔,怀柔,顶秀美泉家园,3,2,4,2012,88,南北,其他,430.0,6,112,2922,2,2,22,0,430.0,2012,88,4
77,怀柔,怀柔,融城园北区,3,1,6,2003,104,南北,精装,310.0,6,112,2479,2,1,22,3,310.0,2003,104,6
78,怀柔,怀柔,融城园南区,3,1,6,1997,80,南北,其他,235.0,6,112,2480,2,1,22,0,235.0,1997,80,6
79,怀柔,怀柔,益田影人四季花园,2,2,8,2012,103,南北,精装,413.0,6,112,2115,1,2,22,3,413.0,2012,103,8
80,怀柔,怀柔,欧郡香水城,5,3,2,2008,345,南北,精装,1150.0,6,112,1745,4,3,22,3,1150.0,2008,345,2
81,怀柔,怀柔,康馨家园,1,1,6,2003,57,东北,简装,220.0,6,112,1267,0,1,2,2,220.0,2003,57,6
82,密云,密云其它,首创澜茵山,4,1,16,2016,123,南北,简装,250.0,4,98,2953,3,1,22,2,250.0,2016,123,16
83,密云,密云其它,君山别墅,3,2,2,2011,391,南北,毛坯,1000.0,4,98,832,2,2,22,1,1000.0,2011,391,2
84,密云,密云其它,君山别墅,5,3,2,2012,468,南北,精装,1400.0,4,98,832,4,3,22,3,1400.0,2012,468,2
85,密云,密云其它,京溪小区,3,1,6,2007,102,南北,其他,210.0,4,98,368,2,1,22,0,210.0,2007,102,6
86,密云,密云其它,檀州家园东区,3,2,6,2006,141,南北,其他,308.0,4,98,1742,2,2,22,0,308.0,2006,141,6
87,密云,密云其它,保利花园,2,1,6,2011,74,西北,精装,223.0,4,98,426,1,1,32,3,223.0,2011,74,6
88,密云,密云其它,保利花园,3,2,6,2011,123,南北,其他,320.0,4,98,426,2,2,22,0,320.0,2011,123,6
89,密云,密云其它,首创澜茵山,3,2,16,2014,123,南北,其他,265.0,4,98,2953,2,2,22,0,265.0,2014,123,16
90,密云,密云其它,石桥西区,3,2,6,2009,102,南北,其他,240.0,4,98,2143,2,2,22,0,240.0,2009,102,6
91,密云,密云其它,果园新里南区,3,2,6,2004,108,南北,精装,260.0,4,98,1684,2,2,22,3,260.0,2004,108,6
92,密云,密云其它,首创澜茵山,3,2,7,2016,98,南北,其他,230.0,4,98,2953,2,2,22,0,230.0,2016,98,7
93,密云,密云其它,檀城西区,6,2,6,2009,198,南北,精装,398.0,4,98,1741,5,2,22,3,398.0,2009,198,6
94,平谷,平谷其它,峪上桃墅林,3,2,2,2007,121,南北,精装,320.0,5,106,1208,2,2,22,3,320.0,2007,121,2
