,Region,District,Garden,Room,Hall,Floor,Year,Size,Direction,Renovation,Price,Elevator,RegionNum,DistrictNum,RoomNum,HallNum,DirectionNum,RenovationNum,ElevatorNum,YearNum,SizeNum,FloorNum
14,丰台,青塔,青塔东里,2,1,7,2000,84,南北,简装,450.0,0,1,212,1,1,33,2,0,2000,84,7
15,丰台,花乡,期颐百年,2,1,9,2011,87,南西,简装,419.0,1,1,177,1,1,37,2,1,2011,87,9
16,丰台,方庄,芳古园二区,4,2,22,2000,171,东北,精装,1196.0,1,1,121,3,2,4,3,1,2000,171,22
17,丰台,菜户营,万泉寺东路9号院,3,2,14,2008,105,西北,简装,610.0,1,1,181,2,2,47,2,1,2008,105,14
18,丰台,右安门外,玉林东里一区,3,1,6,1995,69,南北,精装,445.0,0,1,63,2,1,33,3,0,1995,69,6
19,丰台,太平桥,尚西泊图,3,1,21,2004,127,东南北,其他,750.0,1,1,88,2,1,8,0,1,2004,127,21
20,丰台,新宫,天骄俊园9号院,2,1,15,2012,96,南北,精装,520.0,1,1,119,1,1,33,3,1,2012,96,15
21,丰台,青塔,广安﹒康馨家园,2,1,18,2015,69,南,简装,332.0,1,1,212,1,1,30,2,1,2015,69,18
22,丰台,青塔,广安﹒康馨家园,2,1,34,2015,72,南,其他,345.0,1,1,212,1,1,30,0,1,2015,72,34
23,丰台,青塔,广安﹒康馨家园,2,1,28,2014,73,南北,简装,350.0,1,1,212,1,1,33,2,1,2014,73,28
24,丰台,方庄,芳星园三区,3,1,15,2000,86,南北,简装,490.0,1,1,121,2,1,33,2,1,2000,86,15
25,丰台,旧宫,菊源里,4,2,6,2001,156,南北,其他,760.0,0,1,122,3,2,33,0,0,2001,156,6
26,丰台,科技园区,北京方向,1,1,14,2015,61,南,精装,385.0,1,1,168,0,1,30,3,1,2015,61,14
27,昌平,西关环岛,秋实家园,3,2,6,2000,127,南北,简装,335.0,0,8,185,2,2,33,2,0,2000,127,6
28,昌平,北七家,温泉花园B区,1,1,6,2002,56,南北,精装,252.0,0,8,42,0,1,33,3,0,2002,56,6
29,昌平,回龙观,流星花园三区,1,0,11,2006,47,北,其他,300.0,1,8,69,0,0,27,0,1,2006,47,11
30,昌平,小汤山,纳帕澜郡,3,2,12,2013,139,南北,其他,518.0,1,8,101,2,2,33,0,1,2013,139,12
31,昌平,北七家,王府园中园六区,3,2,6,2001,212,南北,精装,750.0,0,8,42,2,2,33,3,0,2001,212,6
32,昌平,北七家,蓬莱苑C区,5,2,2,2003,213,南北,精装,1500.0,0,8,42,4,2,33,3,0,2003,213,2
33,昌平,南邵,龙山跃,3,0,24,2006,58,东西,精装,220.0,1,8,55,2,0,20,3,1,2006,58,24
34,昌平,回龙观,北回归线,2,0,7,2009,66,北,精装,235.0,0,8,69,1,0,27,3,0,2009,66,7
35,昌平,天通苑,天通苑本六区,3,1,6,2001,131,南北,简装,445.0,0,8,87,2,1,33,2,0,2001,131,6
36,昌平,北七家,远洋傲北,5,2,3,2013,333,南北,毛坯,1250.0,1,8,42,4,2,33,1,1,2013,333,3
37,大兴,旧宫,东亚五环国际,1,0,17,2014,34,西,精装,104.0,1,3,122,0,0,45,3,1,2014,34,17
38,大兴,亦庄,金融街漫香林第6区,4,0,9,2016,86,东西北,精装,350.0,1,3,29,3,0,22,3,1,2016,86,9
39,大兴,亦庄,金融街漫香林第6区,4,0,9,2016,93,南北,精装,330.0,1,3,29,3,0,33,3,1,2016,93,9
40,大兴,大兴其它,首座御园二区二期,3,1,15,2015,116,南北,精装,525.0,1,3,77,2,1,33,3,1,2015,116,15
41,大兴,天宫院,龙湖时代天街,4,1,26,2014,169,南北,简装,788.0,1,3,85,3,1,33,2,1,2014,169,26
42,大兴,天宫院,珺悦国际,3,0,8,2014,101,西北,精装,240.0,1,3,85,2,0,47,3,1,2014,101,8
43,大兴,天宫院,云立方,2,1,19,2014,84,南北,简装,354.0,1,3,85,1,1,33,2,1,2014,84,19
44,大兴,亦庄,金融街漫香林第6区,4,0,9,2016,89,东西,精装,300.0,1,3,29,3,0,20,3,1,2016,89,9
45,房山,长阳,怡和南路11号院,1,0,8,2016,42,东,精装,110.0,1,7,206,0,0,0,3,1,2016,42,8
46,房山,长阳,怡和南路11号院,1,0,8,2016,46,东,其他,140.0,1,7,206,0,0,0,0,1,2016,46,8
47,房山,良乡,辰光嘉园,5,2,15,2003,234,南北,其他,658.0,1,7,175,4,2,33,0,1,2003,234,15
48,房山,长阳,长阳半岛怡和路6号院,3,2,4,2015,139,南北,其他,695.0,0,7,206,2,2,33,0,0,2015,139,4
49,房山,长阳,怡和南路11号院,2,0,8,2016,42,东,精装,108.0,1,7,206,1,0,0,3,1,2016,42,8
50,房山,城关,中国铁建原香漫谷,2,2,19,2015,95,南,毛坯,252.0,1,7,75,1,2,30,1,1,2015,95,19
51,房山,窦店,北京城建琨廷,2,1,9,2013,85,南,精装,255.0,1,7,169,1,1,30,3,1,2013,85,9
52,房山,城关,中冶蓝城,2,1,16,2014,89,南北,精装,255.0,1,7,75,1,1,33,3,1,2014,89,16
53,房山,长阳,五和万科长阳天地,2,0,5,2016,47,西,精装,135.0,1,7,206,1,0,45,3,1,2016,47,5
54,房山,良乡,首开熙悦睿府书香,1,0,18,2014,50,东,精装,119.0,1,7,175,0,0,0,3,1,2014,50,18
55,平谷,平谷其它,首城汇景湾,2,2,18,2014,87,南北,其他,210.0,1,5,108,1,2,33,0,1,2014,87,18
56,平谷,平谷其它,首城汇景湾,1,1,18,2014,67,东北,其他,199.0,1,5,108,0,1,4,0,1,2014,67,18
57,平谷,平谷其它,首城汇景湾,3,2,12,2015,124,南北,精装,420.0,1,5,108,2,2,33,3,1,2015,124,12
58,平谷,平谷其它,新华联慧谷,2,2,17,2015,102,南北,精装,285.0,1,5,108,1,2,33,3,1,2015,102,17
59,平谷,平谷其它,中昂邑上原著,2,1,12,2015,76,南北,精装,320.0,1,5,108,1,1,33,3,1,2015,76,12
60,平谷,平谷其它,首城汇景湾,3,2,18,2014,134,南北,其他,360.0,1,5,108,2,2,33,0,1,2014,134,18
61,平谷,平谷其它,首城汇景湾,2,2,18,2014,88,南北,其他,230.0,1,5,108,1,2,33,0,1,2014,88,18
62,平谷,平谷其它,首城汇景湾,2,2,11,2015,89,南北,其他,260.0,1,5,108,1,2,33,0,1,2015,89,11
63,平谷,平谷其它,首城汇景湾,1,1,18,2014,74,南北,其他,190.0,1,5,108,0,1,33,0,1,2014,74,18
64,平谷,平谷其它,首城汇景湾,3,1,18,2014,116,南北,其他,270.0,1,5,108,2,1,33,0,1,2014,116,18
65,平谷,平谷其它,首城汇景湾,2,2,16,2014,91,南北,精装,260.0,1,5,108,1,2,33,3,1,2014,91,16
66,平谷,平谷其它,首城汇景湾,4,2,13,2014,194,南北,精装,480.0,1,5,108,3,2,33,3,1,2014,194,13
67,怀柔,怀柔,龙山新新小镇六期,5,2,2,2009,457,南北,精装,1800.0,0,6,114,4,2,33,3,0,2009,457,2
68,怀柔,怀柔,顶秀美泉小镇,2,1,4,2010,89,南北,精装,430.0,0,6,114,1,1,33,3,0,2010,89,4
69,怀柔,怀柔,龙山新新小镇六期,6,4,2,2008,163,南北,精装,850.0,0,6,114,5,4,33,3,0,2008,163,2
70,怀柔,怀柔,融城园南区,3,1,1,1998,87,南北,简装,330.0,0,6,114,2,1,33,2,0,1998,87,1
71,怀柔,怀柔,龙山新新小镇六期,5,3,2,2008,585,南北,精装,2100.0,0,6,114,4,3,33,3,0,2008,585,2
72,怀柔,怀柔,欧郡香水城,5,2,2,2011,343,南北,毛坯,1030.0,1,6,114,4,2,33,1,1,2011,343,2
73,怀柔,怀柔,八龙桥雅苑,5,2,2,2008,307,东南北,其他,1150.0,0,6,114,4,2,8,0,0,2008,307,2
74,怀柔,怀柔,龙山新新小镇六期,4,2,2,2008,163,南北,简装,800.0,0,6,114,3,2,33,2,0,2008,163,2
75,怀柔,怀柔,顶秀美泉小镇,3,2,4,2010,133,南北,其他,530.0,0,6,114,2,2,33,0,0,2010,133,4
76,怀柔,怀柔,顶秀美泉家园,3,2,4,2012,88,南北,其他,430.0,0,6,114,2,2,33,0,0,2012,88,4
77,怀柔,怀柔,融城园北区,3,1,6,2003,104,南北,精装,310.0,0,6,114,2,1,33,3,0,2003,104,6
78,怀柔,怀柔,融城园南区,3,1,6,1997,80,南北,其他,235.0,0,6,114,2,1,33,0,0,1997,80,6
79,怀柔,怀柔,益田影人四季花园,2,2,8,2012,103,南北,精装,413.0,1,6,114,1,2,33,3,1,2012,103,8
80,怀柔,怀柔,欧郡香水城,5,3,2,2008,345,南北,精装,1150.0,0,6,114,4,3,33,3,0,2008,345,2
81,怀柔,怀柔,康馨家园,1,1,6,2003,57,东北,简装,220.0,0,6,114,0,1,4,2,0,2003,57,6
82,密云,密云其它,首创澜茵山,4,1,16,2016,123,南北,简装,250.0,1,4,100,3,1,33,2,1,2016,123,16
83,密云,密云其它,君山别墅,3,2,2,2011,391,南北,毛坯,1000.0,1,4,100,2,2,33,1,1,2011,391,2
