,Price
728,288.0
729,245.0
730,263.0
731,316.0
732,278.0
733,315.0
734,285.0
735,480.0
736,530.0
737,200.0
738,360.0
739,395.0
740,325.0
741,390.0
742,650.0
743,360.0
744,215.0
745,279.0
746,300.0
747,210.0
748,360.0
749,345.0
750,435.0
751,317.0
752,299.0
753,350.0
754,245.0
755,475.0
756,260.0
757,439.0
758,399.0
759,395.0
760,325.0
761,220.0
762,275.0
763,439.0
764,350.0
765,310.0
766,1100.0
767,610.0
768,300.0
769,380.0
770,320.0
771,288.0
772,228.0
773,278.0
774,470.0
775,205.0
776,511.0
777,300.0
778,345.0
779,410.0
780,1100.0
781,460.0
782,395.0
783,418.0
784,295.0
785,408.0
786,380.0
787,299.0
788,300.0
789,320.0
790,299.0
791,418.0
792,378.0
793,269.0
794,450.0
795,350.0
796,525.0
797,200.0
798,240.0
799,329.0
800,300.0
801,340.0
802,265.0
803,325.0
804,380.0
805,300.0
806,240.0
807,320.0
808,368.0
809,215.0
810,270.0
811,419.0
812,379.0
813,465.0
814,183.0
815,1000.0
816,360.0
817,370.0
818,285.0
819,338.0
820,275.0
821,420.0
822,400.0
823,325.0
824,240.0
825,228.0
826,210.0
827,410.0
828,320.0
829,650.0
830,270.0
831,324.0
832,320.0
833,260.0
834,270.0
835,600.0
836,339.0
837,445.0
838,320.0
839,230.0
840,450.0
841,340.0
842,275.0
843,277.0
844,380.0
845,312.0
846,350.0
847,290.0
848,400.0
849,392.0
850,280.0
851,230.0
852,375.0
853,399.0
854,330.0
855,450.0
856,275.0
857,330.0
858,450.0
859,470.0
860,345.0
861,275.0
862,298.0
863,635.0
864,490.0
865,400.0
866,303.0
867,405.0
868,400.0
869,310.0
870,315.0
871,279.0
872,315.0
873,236.0
874,299.0
875,480.0
876,355.0
877,398.0
878,318.0
879,298.0
880,302.0
881,300.0
882,229.0
883,483.0
884,263.0
885,380.0
886,394.0
887,208.0
888,365.0
889,465.0
890,285.0
891,480.0
892,350.0
893,240.0
894,215.0
895,258.0
896,292.0
897,828.0
898,380.0
899,295.0
900,225.0
901,345.0
902,850.0
903,1350.0
904,530.0
905,350.0
906,180.0
907,98.0
908,180.0
909,60.0
910,210.0
911,280.0
912,260.0
913,230.0
914,260.0
915,120.0
916,1450.0
917,1850.0
918,830.0
919,1200.0
920,450.0
921,150.0
922,80.0
923,1300.0
924,160.0
925,220.0
926,350.0
927,220.0
928,95.0
929,260.0
930,380.0
931,1900.0
932,3300.0
933,2550.0
934,1700.0
935,210.0
936,320.0
937,2600.0
938,136.0
939,170.0
940,2200.0
941,120.0
942,140.0
943,335.0
944,120.0
945,75.0
946,357.0
947,240.0
948,210.0
949,348.0
950,135.0
951,2600.0
952,240.0
953,160.0
954,230.0
955,830.0
956,735.0
957,1950.0
958,1800.0
959,270.0
960,480.0
961,228.0
962,1550.0
963,1000.0
964,780.0
965,340.0
966,1200.0
967,1300.0
968,1600.0
969,730.0
970,420.0
971,860.0
972,160.0
973,160.0
974,90.0
975,220.0
976,155.0
977,88.0
978,238.0
979,225.0
980,300.0
981,125.0
982,66.0
983,110.0
984,230.0
985,140.0
986,2500.0
987,245.0
988,1650.0
989,800.0
990,1650.0
991,1158.0
992,900.0
993,880.0
994,280.0
995,1900.0
996,1250.0
997,404.0
998,1300.0
999,120.0
1000,170.0
1001,1430.0
1002,96.0
1003,4000.0
1004,685.0
1005,430.0
1006,2100.0
1007,650.0
1008,1850.0
1009,1649.0
1010,1230.0
1011,2300.0
1012,1680.0
1013,2300.0
1014,2000.0
1015,1580.0
1016,255.0
1017,330.0
1018,140.0
1019,390.0
1020,320.0
1021,2800.0
1022,2300.0
1023,2800.0
1024,2500.0
1025,2365.0
1026,1000.0
1027,3150.0
1028,2300.0
1029,1450.0
1030,410.0
1031,310.0
1032,258.0
1033,1150.0
1034,280.0
1035,280.0
1036,739.0
1037,490.0
1038,528.0
1039,580.0
1040,535.0
1041,900.0
1042,180.0
1043,315.0
1044,240.0
1045,200.0
1046,1000.0
1047,950.0
1048,320.0
1049,300.0
1050,480.0
1051,415.0
1052,4500.0
1053,1280.0
1054,355.0
1055,328.0
1056,375.0
1057,950.0
1058,1450.0
1059,600.0
1060,260.0
1061,1880.0
1062,205.0
1063,200.0
1064,415.0
1065,260.0
1066,880.0
1067,400.0
1068,350.0
1069,360.0
1070,385.0
1071,410.0
1072,258.0
1073,365.0
1074,290.0
1075,837.0
1076,300.0
1077,438.0
1078,450.0
1079,795.0
1080,490.0
1081,500.0
1082,380.0
1083,1550.0
1084,1600.0
1085,815.0
1086,285.0
1087,380.0
1088,1200.0
1089,1650.0
1090,2900.0
1091,550.0
1092,420.0
1093,1300.0
1094,590.0
1095,1500.0
1096,300.0
1097,225.0
1098,495.0
1099,851.0
1100,300.0
1101,260.0
1102,3100.0
1103,1070.0
1104,420.0
1105,450.0
1106,235.0
1107,2800.0
1108,1570.0
1109,950.0
1110,1649.0
1111,2460.0
1112,700.0
1113,220.0
1114,270.0
1115,430.0
1116,290.0
1117,255.0
1118,1400.0
1119,1500.0
1120,980.0
1121,1260.0
1122,460.0
1123,250.0
1124,222.0
1125,315.0
1126,273.0
1127,218.0
1128,235.0
1129,325.0
1130,1650.0
1131,249.0
1132,800.0
1133,410.0
1134,280.0
1135,1500.0
1136,530.0
1137,213.0
1138,340.0
1139,368.0
1140,1300.0
1141,270.0
1142,950.0
1143,285.0
1144,530.0
1145,500.0
1146,510.0
1147,570.0
1148,1200.0
1149,350.0
1150,550.0
1151,560.0
1152,500.0
1153,268.0
1154,500.0
1155,370.0
1156,1180.0
1157,460.0
1158,1180.0
1159,1000.0
1160,365.0
1161,278.0
1162,310.0
1163,320.0
1164,339.0
1165,500.0
1166,1300.0
1167,688.0
1168,500.0
1169,280.0
1170,330.0
1171,225.0
1172,1680.0
1173,1400.0
1174,275.0
1175,340.0
1176,330.0
1177,319.0
1178,370.0
1179,280.0
1180,700.0
1181,320.0
1182,340.0
1183,760.0
1184,416.0
1185,450.0
1186,287.0
1187,430.0
1188,608.0
1189,300.0
1190,290.0
1191,380.0
1192,280.0
1193,430.0
1194,410.0
1195,510.0
1196,620.0
1197,430.0
1198,580.0
1199,370.0
1200,280.0
1201,325.0
1202,342.0
1203,1600.0
1204,560.0
1205,2400.0
1206,340.0
1207,1150.0
1208,285.0
1209,340.0
1210,290.0
1211,420.0
1212,350.0
1213,486.0
1214,1800.0
1215,2480.0
1216,450.0
1217,375.0
1218,240.0
1219,378.0
1220,500.0
1221,362.0
1222,433.0
1223,1750.0
1224,370.0
1225,195.0
1226,310.0
1227,410.0
1228,760.0
1229,450.0
1230,1699.0
1231,418.0
1232,448.0
1233,350.0
1234,268.0
1235,350.0
1236,320.0
1237,340.0
1238,315.0
1239,265.0
1240,305.0
1241,3200.0
1242,700.0
1243,512.0
1244,410.0
1245,710.0
1246,1500.0
1247,520.0
1248,449.0
1249,510.0
1250,860.0
1251,275.0
1252,535.0
1253,375.0
1254,305.0
1255,1350.0
1256,1800.0
1257,485.0
1258,440.0
1259,270.0
1260,310.0
1261,378.0
1262,488.0
1263,630.0
1264,329.0
1265,262.0
1266,394.0
1267,330.0
1268,490.0
1269,460.0
1270,490.0
1271,780.0
1272,500.0
1273,530.0
1274,410.0
1275,350.0
1276,350.0
1277,216.0
1278,1300.0
1279,1800.0
1280,717.0
1281,780.0
1282,1280.0
1283,880.0
1284,545.0
1285,1380.0
1286,388.0
1287,330.0
1288,320.0
1289,257.0
1290,285.0
1291,420.0
1292,430.0
1293,470.0
1294,850.0
1295,270.0
1296,248.0
1297,270.0
1298,430.0
1299,540.0
1300,318.0
1301,343.0
1302,505.0
1303,320.0
1304,420.0
1305,235.0
1306,498.0
1307,410.0
1308,430.0
1309,375.0
1310,700.0
1311,370.0
1312,325.0
1313,495.0
1314,325.0
1315,470.0
1316,470.0
1317,270.0
1318,850.0
1319,600.0
1320,400.0
1321,409.0
1322,335.0
1323,300.0
1324,260.0
1325,260.0
1326,820.0
1327,325.0
1328,320.0
1329,1650.0
1330,500.0
1331,341.0
1332,880.0
1333,515.0
1334,400.0
1335,788.0
1336,310.0
1337,330.0
1338,520.0
1339,450.0
1340,268.0
1341,300.0
1342,290.0
1343,328.0
1344,530.0
1345,420.0
1346,315.0
1347,400.0
1348,310.0
1349,280.0
1350,650.0
1351,330.0
1352,240.0
1353,280.0
1354,870.0
1355,259.0
1356,330.0
1357,285.0
1358,1036.0
1359,905.0
1360,410.0
1361,378.0
1362,298.0
1363,270.0
1364,350.0
1365,370.0
1366,430.0
1367,405.0
1368,270.0
1369,265.0
1370,415.0
1371,425.0
1372,365.0
1373,560.0
1374,860.0
1375,1150.0
1376,450.0
1377,310.0
1378,605.0
1379,1700.0
1380,615.0
1381,408.0
1382,1300.0
1383,450.0
1384,310.0
1385,408.0
1386,400.0
1387,325.0
1388,415.0
1389,520.0
1390,339.0
1391,300.0
1392,360.0
1393,313.0
1394,396.0
1395,430.0
1396,410.0
1397,310.0
1398,500.0
1399,267.0
1400,1050.0
1401,5000.0
1402,245.0
1403,266.0
1404,285.0
1405,430.0
1406,480.0
1407,650.0
1408,505.0
1409,370.0
1410,450.0
1411,330.0
1412,330.0
1413,380.0
1414,330.0
1415,405.0
1416,435.0
1417,1300.0
1418,228.0
1419,300.0
1420,340.0
1421,223.0
1422,359.0
1423,460.0
1424,369.0
1425,400.0
1426,400.0
1427,830.0
1428,276.0
1429,513.0
1430,620.0
1431,405.0
1432,1400.0
1433,715.0
1434,295.0
1435,260.0
1436,385.0
1437,300.0
1438,390.0
1439,320.0
1440,1300.0
1441,430.0
1442,272.0
1443,290.0
1444,440.0
1445,320.0
1446,272.0
1447,428.0
1448,525.0
1449,700.0
1450,366.0
1451,255.0
1452,310.0
1453,1000.0
1454,465.0
1455,285.0
1456,275.0
1457,278.0
1458,470.0
1459,325.0
1460,285.0
1461,585.0
1462,368.0
1463,575.0
1464,259.0
1465,300.0
1466,599.0
1467,450.0
1468,349.0
1469,230.0
1470,345.0
1471,355.0
1472,251.0
1473,320.0
1474,515.0
1475,325.0
1476,268.0
1477,380.0
1478,260.0
1479,370.0
1480,290.0
1481,280.0
1482,169.0
1483,2900.0
1484,368.0
1485,800.0
1486,620.0
1487,3000.0
1488,185.0
1489,399.0
1490,340.0
1491,150.0
1492,245.0
1493,530.0
1494,300.0
1495,790.0
1496,580.0
1497,200.0
1498,305.0
1499,205.0
1500,235.0
1501,840.0
1502,260.0
1503,460.0
1504,200.0
1505,210.0
1506,620.0
1507,800.0
1508,433.0
1509,520.0
1510,325.0
1511,170.0
1512,179.0
1513,1000.0
1514,280.0
1515,480.0
1516,165.0
1517,300.0
1518,185.0
1519,280.0
1520,220.0
1521,345.0
1522,1100.0
1523,390.0
1524,220.0
1525,285.0
1526,410.0
1527,368.0
1528,560.0
1529,490.0
1530,135.0
1531,1160.0
1532,680.0
1533,310.0
1534,188.0
1535,530.0
1536,610.0
1537,300.0
1538,255.0
1539,1680.0
1540,450.0
1541,255.0
1542,940.0
1543,620.0
1544,780.0
1545,350.0
1546,360.0
1547,180.0
1548,650.0
1549,350.0
1550,880.0
1551,780.0
1552,485.0
1553,399.0
1554,465.0
1555,400.0
1556,270.0
1557,300.0
1558,700.0
1559,930.0
1560,540.0
1561,620.0
1562,410.0
1563,299.0
1564,710.0
1565,755.0
1566,510.0
1567,420.0
1568,380.0
1569,510.0
1570,335.0
1571,730.0
1572,435.0
1573,465.0
1574,420.0
1575,400.0
1576,115.0
1577,1050.0
1578,580.0
1579,420.0
1580,668.0
1581,1030.0
1582,850.0
1583,390.0
1584,725.0
1585,920.0
1586,850.0
1587,545.0
1588,445.0
1589,470.0
1590,1700.0
1591,610.0
1592,258.0
1593,780.0
1594,320.0
1595,1600.0
1596,460.0
1597,165.0
1598,600.0
1599,380.0
1600,1300.0
1601,210.0
1602,330.5
1603,413.0
1604,387.0
1605,240.0
1606,1000.0
1607,520.0
1608,230.0
1609,320.0
1610,735.0
1611,430.0
1612,350.0
1613,290.0
1614,245.0
1615,147.0
1616,360.0
1617,240.0
1618,560.0
1619,500.0
1620,339.0
1621,330.0
1622,315.0
1623,600.0
1624,500.0
1625,325.0
1626,360.0
1627,180.0
1628,300.0
1629,360.0
1630,320.0
1631,360.0
1632,484.0
1633,300.0
1634,340.0
1635,255.0
1636,488.0
1637,210.0
1638,800.0
1639,335.0
1640,310.0
1641,760.0
1642,360.0
1643,333.0
1644,751.0
1645,320.0
1646,610.0
1647,300.0
1648,970.0
1649,2100.0
1650,307.0
1651,320.0
1652,140.0
1653,310.0
1654,325.0
1655,400.0
1656,1027.0
1657,210.0
1658,370.0
1659,2200.0
1660,2600.0
1661,305.0
1662,310.0
1663,310.0
1664,320.0
1665,340.0
1666,430.0
1667,1490.0
1668,270.0
1669,240.0
1670,345.0
1671,330.0
1672,2960.0
1673,310.0
1674,1660.0
1675,263.0
1676,350.0
1677,291.0
1678,456.0
1679,340.0
1680,508.0
1681,420.0
1682,310.0
1683,295.0
1684,330.0
1685,269.0
1686,520.0
1687,200.0
1688,660.0
1689,320.0
1690,500.0
1691,290.0
1692,205.0
1693,340.0
1694,200.0
1695,2300.0
1696,480.0
1697,259.0
1698,450.0
1699,650.0
1700,350.0
1701,310.0
1702,263.0
1703,318.0
1704,195.0
1705,1350.0
1706,240.0
1707,620.0
1708,480.0
1709,390.0
1710,350.0
1711,200.0
1712,450.0
1713,1700.0
1714,1280.0
1715,475.0
1716,416.0
1717,308.0
1718,252.0
1719,432.0
1720,305.0
1721,560.0
1722,940.0
1723,515.0
1724,360.0
1725,520.0
1726,480.0
1727,290.0
1728,520.0
1729,470.0
1730,435.0
1731,500.0
1732,418.0
1733,230.0
1734,400.0
1735,400.0
1736,545.0
1737,290.0
1738,252.0
1739,227.0
1740,950.0
1741,305.0
1742,450.0
1743,285.0
1744,680.0
1745,520.0
1746,285.0
1747,305.0
1748,820.0
1749,292.0
1750,335.0
1751,495.0
1752,210.0
1753,420.0
1754,315.0
1755,270.0
1756,249.0
1757,440.0
1758,280.0
1759,315.0
1760,240.0
1761,1200.0
1762,540.0
1763,265.0
1764,180.0
1765,320.0
1766,250.0
1767,260.0
1768,300.0
1769,210.0
1770,550.0
1771,330.0
1772,260.0
1773,245.0
1774,918.0
1775,850.0
1776,345.0
1777,650.0
1778,260.0
1779,335.0
1780,348.0
1781,524.0
1782,1438.0
1783,300.0
1784,260.0
1785,256.0
1786,270.0
1787,230.0
1788,340.0
1789,230.0
1790,220.0
1791,591.0
1792,880.0
1793,340.0
1794,365.0
1795,258.0
1796,310.0
1797,570.0
1798,1092.0
1799,379.0
1800,300.0
1801,440.0
1802,328.0
1803,234.0
1804,1280.0
1805,350.0
1806,315.0
1807,520.0
1808,410.0
1809,310.0
1810,460.0
1811,365.0
1812,320.0
1813,410.0
1814,350.0
1815,720.0
1816,560.0
1817,330.0
1818,350.0
1819,310.0
1820,380.0
1821,330.0
1822,730.0
1823,630.0
1824,230.0
1825,485.0
1826,265.0
1827,235.0
1828,281.0
1829,330.0
1830,273.0
1831,470.0
1832,316.0
1833,580.0
1834,374.0
1835,400.0
1836,335.0
1837,650.0
1838,430.0
1839,960.0
1840,298.0
1841,396.0
1842,820.0
1843,249.5
1844,410.0
1845,510.0
1846,345.0
1847,343.0
1848,235.0
1849,265.0
1850,312.0
1851,330.0
1852,350.0
1853,345.0
1854,510.0
1855,285.0
1856,500.0
1857,249.0
1858,320.0
1859,300.0
1860,325.0
1861,320.0
1862,330.0
1863,510.0
1864,285.0
1865,265.0
1866,289.0
1867,1150.0
1868,700.0
1869,670.0
1870,950.0
1871,640.0
1872,435.0
1873,245.0
1874,385.0
1875,565.0
1876,248.0
1877,560.0
1878,330.0
1879,378.0
1880,660.0
1881,200.0
1882,210.0
1883,750.0
1884,850.0
1885,255.0
1886,460.0
1887,305.0
1888,253.0
1889,350.0
1890,500.0
1891,420.0
1892,462.0
1893,298.0
1894,800.0
1895,428.0
1896,285.0
1897,630.0
1898,395.0
1899,230.0
1900,246.0
1901,500.0
1902,450.0
1903,718.0
1904,375.0
1905,448.0
1906,245.0
1907,365.0
1908,438.0
1909,309.0
1910,260.0
1911,630.0
1912,470.0
1913,265.0
1914,350.0
1915,340.0
1916,450.0
1917,368.0
1918,240.0
1919,410.0
1920,445.0
1921,250.0
1922,350.0
1923,322.0
1924,850.0
1925,420.0
1926,460.0
1927,350.0
1928,470.0
1929,248.0
1930,510.0
1931,250.0
1932,265.0
1933,255.0
1934,370.0
1935,408.0
1936,255.0
1937,253.0
1938,240.0
1939,223.5
1940,380.0
1941,375.0
1942,246.0
1943,298.0
1944,310.0
1945,249.0
1946,738.0
1947,338.0
1948,249.0
1949,420.0
1950,395.0
1951,380.0
1952,520.0
1953,276.0
1954,415.0
1955,365.0
1956,260.0
1957,520.0
1958,430.0
1959,298.0
1960,468.0
1961,288.0
1962,2167.4
1963,450.0
1964,650.0
1965,325.0
1966,550.0
1967,330.0
1968,468.0
1969,335.0
1970,687.0
1971,400.0
1972,350.0
1973,620.0
1974,710.0
1975,380.0
1976,280.0
1977,280.0
1978,610.0
1979,400.0
1980,368.0
1981,350.0
1982,755.0
1983,708.0
1984,418.0
1985,540.0
1986,340.0
1987,400.0
1988,500.0
1989,300.0
1990,390.0
1991,3780.0
1992,350.0
1993,300.0
1994,408.0
1995,420.0
1996,630.0
1997,280.0
1998,380.0
1999,249.0
2000,455.0
2001,465.0
2002,410.0
2003,268.0
2004,350.0
2005,580.0
2006,390.0
2007,500.0
2008,300.0
2009,540.0
2010,460.0
2011,350.0
2012,390.0
2013,552.0
2014,320.0
2015,600.0
2016,469.0
2017,250.0
2018,435.0
2019,340.0
2020,255.0
2021,420.0
2022,300.0
2023,280.0
2024,340.0
2025,360.0
2026,319.0
2027,350.0
2028,530.0
2029,310.0
2030,334.0
2031,615.0
2032,860.0
2033,489.0
2034,328.0
2035,200.0
2036,350.0
2037,340.0
2038,368.0
2039,320.0
2040,330.0
2041,280.0
2042,440.0
2043,285.0
2044,480.0
2045,290.0
2046,570.0
2047,314.8
2048,375.0
2049,615.0
2050,370.0
2051,485.0
2052,400.0
2053,285.0
2054,235.0
2055,424.0
2056,470.0
2057,260.0
2058,275.0
2059,660.0
2060,330.0
2061,460.0
2062,850.0
2063,282.0
2064,425.0
2065,255.0
2066,320.0
2067,715.0
2068,400.0
2069,281.0
2070,258.0
2071,458.0
2072,245.0
2073,850.0
2074,450.0
2075,458.0
2076,700.0
2077,369.0
2078,410.0
2079,330.0
2080,480.0
2081,370.0
2082,300.0
2083,310.0
2084,295.0
2085,246.0
2086,980.0
2087,485.0
2088,370.0
2089,450.0
2090,260.0
2091,362.0
2092,450.0
2093,290.0
2094,298.0
2095,610.0
2096,330.0
2097,650.0
2098,550.0
2099,256.0
2100,468.0
2101,418.0
2102,395.0
2103,286.0
2104,310.0
2105,520.0
2106,262.0
2107,240.0
2108,1400.0
2109,315.0
2110,239.0
2111,301.0
2112,386.0
2113,398.0
2114,516.0
2115,249.0
2116,208.0
