index,Region,District,Garden,Layout,Floor,Year,Size,Direction,Renovation,Price
127,11,139,2440,15,15,52,104,49,4,534.6
128,11,73,920,8,5,40,74,27,0,340.0
129,11,77,2926,16,6,62,127,49,4,776.0
130,11,139,3288,8,5,35,48,46,3,238.0
131,11,73,1746,8,5,41,52,20,0,229.0
132,11,77,1750,8,5,42,69,49,4,310.0
133,11,139,2440,1,15,49,52,46,3,278.0
134,11,73,2616,23,3,53,181,49,0,799.0
135,11,73,1055,8,5,54,60,38,3,262.0
136,11,77,1753,8,5,39,35,49,3,215.0
137,11,77,1748,8,5,42,50,46,3,260.0
138,11,37,554,9,5,49,89,49,3,430.0
139,11,77,1753,8,5,40,52,49,3,298.0
140,11,77,1753,8,5,39,35,49,3,200.0
141,11,199,1628,8,5,57,75,49,0,311.0
142,11,73,2616,16,5,53,156,49,4,620.0
143,11,77,1068,8,5,40,65,49,3,248.0
144,11,139,927,1,13,54,52,46,4,279.0
145,11,199,2020,8,23,60,69,46,3,380.0
146,11,77,3165,8,20,62,78,46,4,398.0
147,11,77,3165,23,18,62,206,49,2,945.0
148,11,77,2926,16,7,62,125,49,4,750.0
149,11,37,311,8,22,59,78,49,0,442.0
150,11,139,927,8,5,54,86,54,4,420.0
151,11,37,311,8,25,59,74,46,0,440.0
152,11,73,1056,8,5,52,58,49,3,240.0
153,11,77,1752,8,23,50,95,20,3,436.0
154,11,199,2253,8,3,53,157,49,2,600.0
155,11,37,731,33,2,60,326,49,4,2900.0
156,11,139,469,1,13,51,68,54,4,320.0
157,11,37,2196,23,9,61,113,49,4,900.0
158,11,73,3291,16,6,51,125,49,0,515.0
159,11,37,311,15,8,59,115,49,4,580.0
160,11,73,1053,15,5,27,47,49,4,200.0
161,11,73,2616,23,5,53,119,49,4,480.0
162,11,37,731,24,4,60,322,49,4,2200.0
163,11,73,923,15,4,18,51,49,3,265.0
164,11,77,1627,0,5,56,34,46,0,193.0
165,11,77,1752,1,23,50,68,44,3,310.0
166,11,37,2196,15,5,61,103,38,0,560.0
167,11,77,1753,8,5,39,52,49,4,223.0
168,11,73,2616,9,5,50,87,49,4,390.0
169,11,77,2926,16,6,62,126,49,2,950.0
170,11,199,2018,8,23,60,69,46,4,386.0
171,11,77,1627,0,5,56,33,46,3,200.0
172,11,139,1651,15,5,48,88,49,3,390.0
173,11,77,1750,15,5,42,90,49,0,385.0
174,11,37,311,8,25,59,77,49,0,440.0
175,11,199,2489,8,3,54,62,49,4,280.0
176,11,37,311,8,25,59,78,49,4,425.0
177,11,37,311,8,25,59,77,49,4,430.0
178,11,73,2014,8,5,29,42,49,3,238.0
179,11,77,3165,8,20,62,78,46,2,406.0
180,11,77,3165,16,20,62,126,49,4,603.0
181,11,37,2184,8,19,58,85,25,4,489.0
182,11,37,2196,23,9,59,197,49,4,1100.0
183,11,37,311,8,25,59,74,46,4,410.0
184,11,139,1651,15,5,47,98,49,3,400.0
185,11,73,3291,22,6,51,131,38,4,528.0
186,11,37,2196,15,9,61,114,49,4,660.0
187,11,139,2440,16,5,52,155,46,0,715.0
188,11,37,311,8,22,59,73,46,4,390.0
189,11,73,3552,8,5,43,72,38,0,340.0
190,11,37,311,8,22,59,73,46,4,417.0
191,11,73,2014,15,5,39,50,49,0,245.0
192,11,37,553,15,5,44,83,27,0,360.0
193,11,139,2440,0,13,53,32,44,4,198.0
194,11,77,2101,8,5,40,47,49,0,239.0
195,11,199,295,8,5,47,85,49,3,310.0
196,11,77,1627,8,8,57,77,38,4,330.0
197,11,37,2196,15,9,61,116,49,4,950.0
198,11,139,927,23,5,54,150,49,4,650.0
199,11,77,1752,1,23,50,70,20,4,330.0
200,11,77,3527,8,5,43,53,49,4,298.0
201,11,139,1574,31,5,44,150,49,3,590.0
202,11,199,2253,16,3,53,156,49,4,500.0
203,11,139,1651,1,5,48,47,46,3,240.0
204,11,77,1752,8,23,50,95,58,3,460.0
205,11,77,1627,0,5,56,30,46,0,188.0
206,11,73,29,8,5,49,69,49,0,293.0
207,11,199,1628,8,5,57,71,54,4,300.0
208,11,73,3552,8,6,43,77,24,3,305.0
209,11,199,1628,8,5,57,70,49,2,290.0
210,11,139,1574,8,5,46,79,49,3,340.0
211,11,37,553,8,5,44,72,49,4,328.0
212,11,37,311,8,25,59,74,46,4,408.0
213,11,139,1574,8,5,45,66,49,4,320.0
214,11,139,927,8,9,54,81,49,4,400.0
215,11,37,311,8,25,59,77,49,4,440.0
216,11,77,3165,15,20,62,107,49,4,560.0
217,11,199,1628,8,5,57,57,49,4,245.0
218,11,199,1628,8,5,57,75,49,4,310.0
219,11,73,3291,8,6,51,85,49,0,416.0
220,11,77,1752,9,23,50,106,58,4,450.0
221,11,139,469,8,5,55,84,49,4,405.0
222,11,139,469,15,12,52,118,38,4,520.0
223,11,77,2010,9,5,47,73,49,0,300.0
224,11,199,2018,15,26,60,75,49,3,446.5
225,11,37,2184,16,19,58,134,49,4,740.0
226,11,77,2101,8,5,43,78,49,0,348.0
227,11,77,3165,8,18,62,83,46,3,430.0
228,11,139,3340,23,5,53,190,49,4,650.0
229,11,139,1747,8,5,34,50,49,3,245.0
230,11,73,3291,15,11,51,109,49,4,480.0
231,11,199,1628,8,5,57,76,49,0,310.0
232,11,37,2184,9,19,58,86,60,0,500.0
233,11,73,91,8,5,33,48,49,3,206.0
234,11,77,1402,15,5,44,106,49,3,420.0
235,11,77,3527,1,6,41,27,58,0,193.0
236,11,73,3291,8,6,51,87,38,0,355.0
237,11,37,311,8,25,59,77,49,4,425.0
238,11,77,3165,8,19,63,96,49,4,470.0
239,11,199,1628,8,5,57,76,49,4,310.0
240,11,77,1627,8,19,59,50,49,3,275.0
241,11,199,1628,8,5,57,75,49,0,305.0
242,11,37,311,8,25,59,77,49,4,440.0
243,11,139,305,8,17,55,78,38,0,375.0
244,11,77,1752,8,23,50,103,20,0,450.0
245,11,139,927,8,13,54,85,49,0,399.0
246,11,199,2020,15,23,60,105,49,4,600.0
247,11,73,3552,15,5,43,73,49,3,350.0
248,11,37,553,15,5,44,83,49,0,350.0
249,11,73,2616,22,5,53,134,49,0,540.0
250,11,77,1753,8,5,39,46,49,4,240.0
251,11,139,1651,15,5,47,98,49,3,450.0
252,11,73,923,8,4,18,47,49,0,228.0
253,11,139,305,8,17,55,83,38,4,405.0
254,11,139,1574,8,5,46,76,49,0,360.0
255,11,77,1752,9,23,50,103,58,4,465.0
256,11,73,2014,8,5,30,40,49,3,216.0
257,11,199,1628,8,5,57,56,49,0,248.0
258,11,77,1402,8,5,37,46,46,3,222.0
259,11,77,1753,8,5,39,40,49,3,215.0
260,11,73,3552,1,5,43,34,46,3,195.0
261,11,73,3291,16,11,51,99,49,0,450.0
262,11,199,295,8,5,50,75,49,3,310.0
263,11,77,2010,8,5,47,69,49,0,292.0
264,11,37,2196,23,9,61,198,49,4,1100.0
265,11,37,553,15,5,44,78,49,4,341.0
266,11,199,2020,8,23,60,69,46,3,380.0
267,11,77,2010,8,5,47,68,49,0,289.0
268,11,37,554,8,10,49,103,49,3,447.5
269,11,77,1627,8,19,59,48,46,4,245.0
270,11,199,294,8,5,48,62,49,3,260.0
271,11,73,923,8,4,18,55,27,0,249.0
272,11,37,553,8,5,44,65,49,0,303.0
273,11,139,1574,8,6,46,68,49,4,290.0
274,11,37,2196,16,9,61,115,49,4,674.0
275,11,139,1651,8,5,47,58,25,3,275.0
276,11,139,2440,1,5,52,38,60,4,222.0
277,11,139,3340,23,5,53,189,49,2,580.0
278,11,77,1627,8,5,58,53,46,3,269.0
279,11,77,1752,8,23,50,78,46,3,360.0
280,11,77,1751,8,5,34,34,60,0,220.0
281,11,77,1402,8,5,43,99,49,3,385.0
282,11,73,2616,8,11,58,75,52,4,367.9
283,11,77,1096,8,17,35,44,46,3,215.0
284,11,139,3340,15,5,53,117,49,0,522.0
285,11,139,2440,0,13,53,28,25,0,213.0
286,11,77,1750,8,5,42,73,49,4,325.0
287,11,139,2440,8,13,53,58,38,3,300.0
288,11,73,2616,8,5,52,85,49,4,406.0
289,11,77,1752,1,23,50,70,44,3,330.0
290,11,77,2010,8,5,47,60,49,3,260.0
291,11,199,2018,8,26,60,71,46,4,410.0
292,11,73,582,9,5,27,77,38,4,330.0
293,11,139,1574,16,6,46,136,49,3,550.0
294,11,37,311,8,8,59,69,46,4,420.0
295,11,77,3165,16,20,62,117,49,2,659.0
296,11,77,2926,16,6,62,126,27,0,750.0
297,11,77,3287,8,26,62,76,46,3,407.0
298,11,37,2196,8,9,59,81,38,4,479.0
299,11,77,3287,8,26,62,73,46,4,388.0
300,11,77,3165,15,20,62,116,49,2,560.0
301,11,139,2826,8,5,49,79,63,3,340.0
302,11,199,198,8,4,33,43,49,0,115.0
303,11,77,1753,8,5,40,47,49,3,252.0
304,11,199,1628,1,5,57,51,49,4,225.0
305,11,77,1752,1,23,50,70,58,4,330.0
306,11,73,2616,1,5,53,52,49,0,290.0
307,11,77,3527,8,5,47,55,49,4,308.0
308,11,73,3552,1,6,43,47,58,3,210.0
309,11,73,1749,7,5,46,62,49,3,300.0
310,11,139,2440,0,13,53,32,44,3,208.0
311,11,139,469,16,5,55,144,49,3,480.0
312,11,139,469,1,12,52,66,20,3,308.0
313,11,77,1096,15,17,27,55,27,4,277.0
314,11,139,1651,16,4,47,118,27,4,539.0
315,11,73,954,8,5,33,67,49,3,283.0
316,11,77,1627,8,5,57,45,58,4,255.0
317,11,73,2616,23,5,53,146,49,4,625.0
318,11,139,3288,8,5,39,44,46,4,229.0
319,11,37,2196,8,9,61,97,49,4,580.0
320,11,73,3291,8,6,51,54,49,4,285.0
321,11,199,3290,8,5,39,55,49,3,176.0
322,11,199,2020,15,20,60,74,46,4,408.0
323,11,37,555,15,5,49,89,49,3,434.0
324,11,73,2616,23,5,53,130,49,4,550.0
325,11,77,1753,8,5,39,46,49,0,250.0
326,11,139,305,22,17,55,142,49,0,672.0
327,11,37,2196,15,5,61,102,38,0,590.0
328,11,199,1628,8,5,57,74,49,4,282.0
329,11,77,1402,15,5,43,114,49,0,420.0
330,11,73,2014,8,5,42,50,49,0,251.0
331,11,77,3527,8,5,35,40,49,0,243.0
332,11,77,1752,8,23,50,92,20,4,430.0
333,11,199,538,1,5,22,33,49,4,153.0
334,11,139,1574,1,6,46,53,49,4,238.0
335,11,77,3527,8,5,43,43,49,3,235.0
336,11,139,3288,8,5,37,50,49,4,240.0
337,11,77,1627,8,18,59,50,49,3,245.0
338,11,199,2019,8,27,60,71,46,4,386.0
339,11,37,2196,32,9,59,234,49,4,1180.0
340,11,139,469,15,5,50,94,49,4,430.0
341,11,199,2019,8,27,60,71,46,4,359.0
342,11,139,927,8,5,51,76,49,3,375.0
343,11,73,2616,8,5,50,76,49,4,350.0
344,11,73,2616,8,5,50,76,49,3,360.0
345,11,139,469,8,12,52,95,38,3,429.0
346,11,139,2825,15,5,49,92,49,4,260.0
347,11,73,1054,16,5,49,101,49,3,395.0
348,11,199,1046,8,5,37,54,49,3,260.0
349,11,139,927,8,5,51,76,49,4,360.0
350,11,77,1402,15,5,42,113,49,3,460.0
351,11,77,1627,0,5,56,34,46,0,189.0
352,11,77,3527,8,5,52,49,49,3,280.0
353,11,77,1627,8,8,57,78,38,3,350.0
354,11,73,90,8,5,50,67,49,4,295.0
355,11,77,3527,15,5,47,84,58,4,410.0
356,11,77,1627,8,20,59,46,46,3,240.0
357,11,139,3288,8,5,37,47,49,3,222.0
358,11,77,3165,1,19,63,67,49,2,320.0
359,11,77,3165,8,20,62,78,46,4,390.0
360,11,37,2196,15,5,61,103,38,4,550.0
361,11,139,469,8,10,52,63,38,4,316.0
362,11,139,3288,9,5,36,44,46,4,280.0
363,11,77,1750,15,5,42,81,49,3,340.0
364,11,73,1746,8,5,41,77,40,3,340.0
