,District,Floor,Garden,Price,Size,Year,东城,丰台,亦庄开发区,大兴,密云,平谷,怀柔,房山,昌平,朝阳,海淀,石景山,西城,通州,门头沟,顺义,其他,南北,毛坯,简装,精装,东,南,西,北,Room,Hall,ElevatorNum
29,三元桥,12,尚家楼48号院,6.415096959171596,4.330733340286331,1998,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,2.0,1.0,1.0
30,望京,6,望京西园一区,6.566672429803241,4.7535901911063645,1997,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,3.0,2.0,0.0
31,亚运村,20,安慧里四区,6.302618975744905,4.276666119016055,1990,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,1.0,0.0,2.0,2.0,1.0
32,朝阳公园,18,泰华滨河苑,6.508769136971682,4.663439094112067,2005,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,2.0,1.0,1.0
33,望京,17,北京香颂,7.0909098220799835,4.990432586778736,2009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,3.0,2.0,1.0
34,豆各庄,6,京城雅居,7.16703787691222,5.560681631015528,2004,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,3.0,2.0,0.0
35,亚运村小营,19,一瓶四和院,7.313886831633462,5.0238805208462765,2009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,1.0,1.0,5.0,2.0,1.0
36,四惠,32,东恒时代一期,6.836259277277067,4.962844630259907,2003,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,1.0,0.0,3.0,2.0,1.0
37,北苑,11,润泽悦溪,6.501289670540389,4.465908118654584,2010,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,1.0,0.0,2.0,1.0,1.0
38,潘家园,6,潘家园小区,6.19644412779452,4.430816798843313,1994,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,1.0,0.0,3.0,1.0,0.0
39,十里堡,27,东恒时代三期,6.580639137284949,4.6913478822291435,2008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,1.0,0.0,2.0,2.0,1.0
40,太阳宫,25,红玺台,7.783640596221253,5.087596335232384,2011,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,3.0,2.0,1.0
41,双井,22,九龙花园,6.580639137284949,4.700480365792417,2001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0,2.0,2.0,1.0
42,高碑店,6,兴隆家园,6.546785410760524,4.762173934797756,2000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,3.0,1.0,0.0
43,北苑,14,北苑家园望春园,6.523562306149512,4.6913478822291435,2006,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,2.0,1.0,1.0
44,四惠,14,远洋天地三期,6.364750756851911,4.30406509320417,2004,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0
45,甜水园,22,华阳家园,6.763884908562435,4.7535901911063645,2002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0.0,0.0,2.0,1.0,1.0
46,华威桥,18,双龙南里,6.016157159698354,4.290459441148391,1993,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,3.0,1.0,1.0
47,亚运村,13,华馨公寓,7.208600337960199,5.176149732573829,1999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,3.0,2.0,1.0
48,亚运村,17,名人公寓,7.601402334583733,5.940171252720432,2002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,4.0,2.0,1.0
49,双井,22,双花园南里一区,6.673297967767654,4.9344739331306915,2000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,1.0,3.0,1.0,1.0
50,望京,28,融科橄榄城二期,6.90875477931522,4.564348191467836,2007,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,2.0,1.0,1.0
51,芍药居,7,芍药居2号院,6.8679744089702925,4.927253685157205,1999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,3.0,2.0,0.0
52,惠新西街,25,罗马花园,6.8885724595653635,5.10594547390058,1995,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,3.0,1.0,1.0
53,四惠,5,八里庄东里北巷,5.973809611869261,4.23410650459726,1981,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,3.0,1.0,0.0
54,豆各庄,3,扬州水乡,6.710523109452428,5.10594547390058,2004,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,3.0,2.0,0.0
55,双井,22,双花园南里二区,6.745236349484363,4.762173934797756,2002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3.0,1.0,1.0
