,District,Elevator,Floor,Garden,Price,Size,Year,东城,丰台,亦庄开发区,大兴,密云,平谷,怀柔,房山,昌平,朝阳,海淀,石景山,西城,通州,门头沟,顺义,其他,南北,毛坯,简装,精装,东,南,西,北,Room,Hall
31,亚运村,有电梯,20,安慧里四区,545.0,71.0,1990,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,1.0,0.0,2.0,2.0
32,朝阳公园,有电梯,18,泰华滨河苑,670.0,105.0,2005,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,2.0,1.0
33,望京,有电梯,17,北京香颂,1200.0,146.0,2009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,3.0,2.0
34,豆各庄,无电梯,6,京城雅居,1295.0,259.0,2004,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,3.0,2.0
35,亚运村小营,有电梯,19,一瓶四和院,1500.0,151.0,2009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,1.0,1.0,5.0,2.0
36,四惠,有电梯,32,东恒时代一期,930.0,142.0,2003,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,1.0,0.0,3.0,2.0
37,北苑,有电梯,11,润泽悦溪,665.0,86.0,2010,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,1.0,0.0,2.0,1.0
38,潘家园,无电梯,6,潘家园小区,490.0,83.0,1994,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,1.0,0.0,3.0,1.0
39,十里堡,有电梯,27,东恒时代三期,720.0,108.0,2008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,1.0,0.0,2.0,2.0
40,太阳宫,有电梯,25,红玺台,2400.0,161.0,2011,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,3.0,2.0
41,双井,有电梯,22,九龙花园,720.0,109.0,2001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0,2.0,2.0
42,高碑店,,6,兴隆家园,696.0,116.0,2000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,3.0,1.0
43,北苑,,14,北苑家园望春园,680.0,108.0,2006,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,2.0,1.0
44,四惠,有电梯,14,远洋天地三期,580.0,73.0,2004,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,0.0,1.0,1.0
45,甜水园,有电梯,22,华阳家园,865.0,115.0,2002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0.0,0.0,2.0,1.0
46,华威桥,,18,双龙南里,409.0,72.0,1993,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,3.0,1.0
47,亚运村,有电梯,13,华馨公寓,1350.0,176.0,1999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,3.0,2.0
48,亚运村,,17,名人公寓,2000.0,379.0,2002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,4.0,2.0
49,双井,有电梯,22,双花园南里一区,790.0,138.0,2000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,1.0,3.0,1.0
50,望京,有电梯,28,融科橄榄城二期,1000.0,95.0,2007,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,2.0,1.0
51,芍药居,无电梯,7,芍药居2号院,960.0,137.0,1999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,3.0,2.0
52,惠新西街,有电梯,25,罗马花园,980.0,164.0,1995,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,3.0,1.0
53,四惠,无电梯,5,八里庄东里北巷,392.0,68.0,1981,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,3.0,1.0
54,豆各庄,无电梯,3,扬州水乡,820.0,164.0,2004,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,3.0,2.0
55,双井,有电梯,22,双花园南里二区,849.0,116.0,2002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3.0,1.0
56,学院路,有电梯,21,学知轩,600.0,89.0,2001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,1.0,0.0,2.0,1.0
57,安宁庄,,11,上林溪,380.0,44.0,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,1.0,0.0
58,万柳,有电梯,10,万泉新新商务花园,750.0,58.0,2003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,1.0,1.0
59,田村,有电梯,9,碧森里,1020.0,132.0,2004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,3.0,2.0
60,北太平庄,,16,庚坊国际,360.0,47.0,2005,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0
61,世纪城,有电梯,7,远大园四区,1900.0,153.0,2000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,3.0,2.0
62,公主坟,无电梯,5,翠微路2号院,476.0,47.0,1980,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,2.0,1.0
