,gbr,ridge,lgb,xgb,rfc,svr
r2_score,0.8673630844592084,0.9101054596649402,0.9243145466572699,0.9332328756377055,0.939798105571556,0.9456387827318776
rmse_score,0.19373991594561318,0.1594373961368279,0.14540020972168027,0.13465683626593558,0.12590332591771555,0.12149984340630557
rmse_std,0.0021021663830685542,0.00263457182326767,0.002849193663801925,0.0019121969617638631,0.0025063458420840996,0.0022851792315186385
